formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Sc4N3_s006,Sc4N3,0.0,0.0,33.478418331961784,0.0,32.11593745694123,166,-8.837650844029017,-0.0186106657781532,-8.809295643809524,0.0256713509593851,3.0,0.0,True,0.02567135095938511
Cs4Br3_s036,Cs4Br3,0.0,37.39586699823543,38.748490063003466,36.53678339552567,0.0,166,-2.71644301641555,0.0168068437349226,-2.7182493528571428,0.0257198117241381,1.0,0.0,True,0.025719811724138175
Y3P2_s001,Y3P2,0.0,43.32261233160797,39.67302247707629,0.0,40.18372308466886,164,-7.309998321533203,0.0298120498657228,-7.327528556,0.0181677546666678,3.0,0.0,True,0.026354182761905598
Y5N4_s011,Y5N4,0.0,30.80835962420115,35.00226303089218,5.006523443001098,31.367840085659356,59,-8.766333685980904,0.0274053149753132,-8.804490628888889,-0.0074779585185194,3.0,0.0,True,0.02640738592592662
Cs8Cl7_s028,Cs8Cl7,0.0,47.42363037549489,47.70299365932485,47.41909037397302,0.0,65,-3.1520179748535155,-0.0062726378440856,-3.131243288333333,0.0270418671379313,1.0,0.0,True,0.02704186713793133
Y8N7_s017,Y8N7,0.0,24.735660431245485,26.935822105221856,0.0,21.05517800577185,123,-8.880628458658855,0.0304583867390935,-8.922035886,-0.0084961377777794,3.0,0.0,True,0.027083473888890097
Na7Cl6_s016,Na7Cl6,0.0,23.938660078170702,23.938660078170702,24.30803378154022,0.0,156,-3.2030633779672475,0.0217360899998593,-3.201915036153846,0.0273384987267908,1.0,0.0,True,0.02733849872679084
Cs8Br7_s003,Cs8Br7,0.0,49.62889557553589,49.62889557553589,48.68934437907883,0.0,65,-2.904851531982422,-0.0034604748090107,-2.8805676793333332,0.0277185334712646,1.0,0.0,True,0.027718533471264628
Y2S1_s033,Y2S1,26.69655665677729,14.876966299491912,31.102721672641685,11.651137220029709,40.58698895935078,160,-6.983162350124783,0.0210300021701392,-6.991333843888889,0.0277314138888886,4.0,0.0,True,0.027731413888888667
Sc8N7_s001,Sc8N7,0.0,24.112107998232418,22.629292671599323,0.0,21.43975245191682,47,-9.034781901041669,0.0091067759195961,-9.029416934666669,0.0278657040000016,3.0,0.0,True,0.02786570399999988
Y4P3_s014,Y4P3,0.0,41.8242555794392,32.19722830489399,0.0,37.61158614752957,59,-7.399566650390625,0.004031453813825,-7.389383172857143,0.0191149376190473,3.0,0.0,True,0.02788611057823065
Cs6Br5_s003,Cs6Br5,0.0,59.22649315883507,59.53496532752723,58.5950866380736,0.0,65,-2.8430463617498223,0.0048452236435627,-2.827953187272727,0.0280503283699062,1.0,0.0,True,0.028050328369906286
Rb6Br5_s008,Rb6Br5,0.0,26.471432525978813,27.13347209647829,27.22583595597821,0.0,164,-2.8588529066606,0.0143989649685947,-2.8513397881818183,0.0290057456818177,1.0,0.0,True,0.029005745681817796
Y2S1_s077,Y2S1,43.98179109681793,37.51224826234039,59.4424778110469,24.217571931988164,46.53585855758569,166,-6.994608985053168,0.0095833672417535,-6.989815386666667,0.0292498711111104,4.0,0.0,True,0.029249871111110437
Na6Cl5_s002,Na6Cl5,0.0,27.62696039785132,27.62696039785132,28.175544762958687,0.0,164,-3.17252592606978,0.0232510349967265,-3.1710713254545455,0.0292923875862065,1.0,0.0,True,0.02929238758620656
Na10Br9_s026,Na10Br9,0.0,23.73896318838036,24.08106454607187,23.86427951190983,0.0,47,-2.950815301192434,0.0123257511540462,-2.936618827368421,0.029477368076225,1.0,0.0,True,0.02947736807622503
Cs4Cl3_s001,Cs4Cl3,0.0,36.25561026697182,39.07158388546512,36.65649975820286,0.0,166,-2.944719768705822,0.0129370831307911,-2.9440781695238094,0.0294818607717575,1.0,0.0,True,0.029481860771757518
Y3N2_s007,Y3N2,0.0,46.718606949825855,46.20591017333582,30.101696627573027,43.524853173555975,164,-8.53135986328125,0.0276834487915049,-8.564940909,-0.0009823943333344,3.0,0.0,True,0.02951441566666624
Cs6Cl5_s002,Cs6Cl5,41.07788714860817,42.00048792648752,42.45249854353363,40.806816368739504,0.0,47,-3.070833379572088,0.0150656212459909,-3.0699907509090907,0.0295182283699064,1.0,0.0,True,0.029518228369906474
